message,label
"Congratulations! You won a free prize. Click now!",spam
"Hey, are we still meeting today?",ham
"Win money now by clicking this link!",spam
"Can you send me the homework file?",ham
"Limited offer! Buy now and get 90% discount!",spam
"Let's have lunch tomorrow.",ham
"You have been selected for a cash reward.",spam
"Please review the meeting notes.",ham
"Urgent! Your account has been compromised. Click here.",spam
"Are you coming to class today?",ham
"Free entry in a prize draw. Claim now!",spam
"Don't forget the project deadline.",ham
"Earn dollars from home with this simple trick.",spam
"Can we reschedule the meeting?",ham
"Exclusive deal just for you. Click to claim.",spam
"I will call you after work.",ham